origin,destination,origin_lat,origin_lon,dest_lat,dest_lon,distance_km,duration_min,origin_temp,origin_wind,dest_temp,dest_wind,avg_temp_along_route,avg_wind_along_route,route_conditions,delay_min
Vijayawada,Nizamabad,16.5062,80.648,18.6725,78.0941,362.3,434,34.4,2.2,31.9,4.4,34.4,3.5,"['fog', 'sunny', 'rain', 'clouds', 'storm', 'sunny', 'clear', 'clear', 'clouds', 'clouds']",16
Karimnagar,Hyderabad,18.4386,79.1288,17.385,78.4867,135.4,162,39.7,3.3,32.5,2.9,36.4,3.4,"['clear', 'fog', 'clear', 'sunny', 'rain', 'storm', 'fog', 'sunny', 'clouds', 'clouds']",4
Karimnagar,Adilabad,18.4386,79.1288,19.6667,78.5333,150.2,180,38.8,2.9,33.8,3.2,34.6,2.9,"['sunny', 'clouds', 'clear', 'clouds', 'clouds', 'clear', 'rain', 'clear', 'clouds', 'clear']",14
Kurnool,Khammam,15.8281,78.0373,17.2473,80.1514,275.1,330,33.3,4.8,39.2,3.3,36.2,4.0,"['rain', 'sunny', 'sunny', 'rain', 'clouds', 'fog', 'fog', 'sunny', 'clear', 'fog']",11
Khammam,Vijayawada,17.2473,80.1514,16.5062,80.648,97.9,117,37.5,2.5,32.5,4.7,35.7,3.7,"['rain', 'clouds', 'clear', 'clear', 'sunny', 'storm', 'sunny', 'sunny', 'clear', 'clouds']",9
Warangal,Vijayawada,17.9784,79.5941,16.5062,80.648,198.3,237,32.1,4.5,32.6,1.2,34.2,3.0,"['rain', 'rain', 'clear', 'sunny', 'clouds', 'clouds', 'sunny', 'clear', 'rain', 'rain']",10
Adilabad,Nizamabad,19.6667,78.5333,18.6725,78.0941,119.8,143,36.8,2.8,32.1,1.7,34.7,2.4,"['fog', 'fog', 'clear', 'sunny', 'clouds', 'clouds', 'clear', 'clouds', 'clouds', 'clouds']",7
Guntur,Rajahmundry,16.3067,80.4365,17.0005,81.804,164.8,197,31.8,2.7,31.7,1.9,31.7,2.7,"['sunny', 'clouds', 'sunny', 'rain', 'clouds', 'clear', 'clear', 'clouds', 'sunny', 'clouds']",13
Adilabad,Warangal,19.6667,78.5333,17.9784,79.5941,218.4,262,35.3,1.3,37.7,4.3,38.1,2.8,"['rain', 'rain', 'clouds', 'clear', 'clear', 'rain', 'clouds', 'clear', 'fog', 'clear']",13
Tirupati,Adilabad,13.6288,79.4192,19.6667,78.5333,678.0,813,35.6,2.9,33.5,1.5,36.5,2.6,"['clear', 'rain', 'rain', 'clear', 'rain', 'rain', 'rain', 'sunny', 'sunny', 'storm']",19
Warangal,Vijayawada,17.9784,79.5941,16.5062,80.648,198.3,237,37.8,2.7,33.1,3.7,33.6,3.4,"['rain', 'clear', 'sunny', 'rain', 'sunny', 'clear', 'sunny', 'clear', 'clear', 'clouds']",18
Karimnagar,Nellore,18.4386,79.1288,14.4426,79.9865,453.6,544,32.2,1.9,38.6,1.2,36.3,1.3,"['clouds', 'clouds', 'clouds', 'clear', 'sunny', 'fog', 'rain', 'sunny', 'clear', 'rain']",24
Tirupati,Warangal,13.6288,79.4192,17.9784,79.5941,484.0,580,35.8,1.8,32.2,2.0,35.0,1.7,"['fog', 'sunny', 'clouds', 'clear', 'clouds', 'clouds', 'clear', 'rain', 'rain', 'sunny']",19
Warangal,Nellore,17.9784,79.5941,14.4426,79.9865,395.4,474,36.8,4.3,33.4,1.5,35.2,2.7,"['clear', 'fog', 'fog', 'rain', 'clear', 'sunny', 'fog', 'rain', 'rain', 'clear']",11
Karimnagar,Kurnool,18.4386,79.1288,15.8281,78.0373,312.6,375,33.4,3.3,33.6,1.9,34.0,2.4,"['sunny', 'sunny', 'clear', 'clouds', 'sunny', 'sunny', 'clear', 'sunny', 'clear', 'clear']",14
Tirupati,Vijayawada,13.6288,79.4192,16.5062,80.648,346.1,415,32.8,3.6,39.0,1.3,35.7,2.6,"['clouds', 'clouds', 'clear', 'rain', 'clouds', 'sunny', 'clear', 'storm', 'clear', 'sunny']",19
Kurnool,Guntur,15.8281,78.0373,16.3067,80.4365,261.8,314,35.4,1.3,38.4,2.9,36.6,1.8,"['sunny', 'clear', 'sunny', 'clouds', 'storm', 'rain', 'clear', 'fog', 'clouds', 'fog']",22
Vijayawada,Adilabad,16.5062,80.648,19.6667,78.5333,416.5,499,36.2,4.0,36.8,4.4,36.7,4.7,"['clear', 'rain', 'sunny', 'sunny', 'rain', 'clear', 'fog', 'sunny', 'clouds', 'sunny']",23
Rajahmundry,Nellore,17.0005,81.804,14.4426,79.9865,344.6,413,30.4,3.4,32.9,3.0,31.1,3.4,"['rain', 'sunny', 'rain', 'clear', 'rain', 'sunny', 'clouds', 'sunny', 'rain', 'rain']",12
Visakhapatnam,Karimnagar,17.6868,83.2185,18.4386,79.1288,440.3,528,39.5,4.0,38.6,2.3,38.1,3.2,"['clear', 'clear', 'storm', 'clear', 'clear', 'sunny', 'rain', 'clear', 'clear', 'clear']",17
Warangal,Khammam,17.9784,79.5941,17.2473,80.1514,100.5,120,38.6,3.4,38.9,1.6,37.0,3.0,"['sunny', 'sunny', 'sunny', 'clear', 'clouds', 'clouds', 'clouds', 'clear', 'clouds', 'fog']",3
Nellore,Kadapa,14.4426,79.9865,14.4674,78.8241,125.2,150,35.9,3.9,38.3,1.6,37.1,3.2,"['clouds', 'clear', 'clouds', 'clear', 'clear', 'clouds', 'clouds', 'clouds', 'fog', 'rain']",3
Visakhapatnam,Vijayawada,17.6868,83.2185,16.5062,80.648,303.1,363,31.4,4.2,30.6,2.5,32.7,3.7,"['fog', 'fog', 'clear', 'storm', 'clear', 'fog', 'clouds', 'clouds', 'clear', 'rain']",25
Guntur,Vijayawada,16.3067,80.4365,16.5062,80.648,31.6,37,31.9,3.7,32.1,2.3,32.8,3.1,"['sunny', 'sunny', 'storm', 'storm', 'rain', 'sunny', 'clear', 'sunny', 'rain', 'sunny']",6
Warangal,Kurnool,17.9784,79.5941,15.8281,78.0373,290.9,349,32.4,3.7,36.3,5.0,35.4,3.9,"['clouds', 'clear', 'sunny', 'clouds', 'sunny', 'sunny', 'clear', 'sunny', 'sunny', 'sunny']",7
Anantapur,Nizamabad,14.6819,77.6006,18.6725,78.0941,446.8,536,38.8,2.8,38.4,2.5,36.9,3.1,"['clear', 'fog', 'sunny', 'rain', 'sunny', 'fog', 'fog', 'storm', 'rain', 'rain']",23
Nizamabad,Khammam,18.6725,78.0941,17.2473,80.1514,269.2,323,36.2,1.1,38.2,2.8,36.4,2.4,"['clouds', 'rain', 'sunny', 'sunny', 'storm', 'clouds', 'clear', 'fog', 'sunny', 'sunny']",18
Rajahmundry,Guntur,17.0005,81.804,16.3067,80.4365,164.8,197,32.8,3.8,37.0,2.0,35.0,3.1,"['clouds', 'sunny', 'storm', 'storm', 'fog', 'sunny', 'clouds', 'storm', 'clear', 'clear']",15
Rajahmundry,Vijayawada,17.0005,81.804,16.5062,80.648,134.8,161,38.0,1.7,32.7,1.3,35.4,1.2,"['storm', 'rain', 'sunny', 'clouds', 'rain', 'sunny', 'fog', 'sunny', 'fog', 'fog']",5
Guntur,Warangal,16.3067,80.4365,17.9784,79.5941,206.3,247,37.1,3.5,39.0,2.8,38.4,3.4,"['clear', 'sunny', 'rain', 'rain', 'clouds', 'clear', 'clear', 'clouds', 'rain', 'rain']",18
Khammam,Karimnagar,17.2473,80.1514,18.4386,79.1288,171.1,205,30.5,1.3,38.1,3.0,32.9,2.0,"['clouds', 'clear', 'sunny', 'clouds', 'sunny', 'storm', 'sunny', 'fog', 'clear', 'rain']",14
Rajahmundry,Vijayawada,17.0005,81.804,16.5062,80.648,134.8,161,34.9,4.0,36.6,3.0,36.7,3.6,"['sunny', 'clear', 'rain', 'fog', 'fog', 'clear', 'storm', 'rain', 'sunny', 'clouds']",9
Tirupati,Nellore,13.6288,79.4192,14.4426,79.9865,109.2,131,30.0,1.5,36.0,4.4,31.6,2.6,"['rain', 'clouds', 'clouds', 'sunny', 'sunny', 'rain', 'clouds', 'rain', 'clouds', 'clouds']",7
Guntur,Nizamabad,16.3067,80.4365,18.6725,78.0941,361.8,434,39.5,3.3,33.9,2.5,37.8,3.3,"['sunny', 'clear', 'rain', 'clouds', 'sunny', 'sunny', 'sunny', 'rain', 'sunny', 'fog']",11
Anantapur,Guntur,14.6819,77.6006,16.3067,80.4365,353.5,424,36.1,4.7,39.5,1.8,36.1,3.1,"['sunny', 'clouds', 'clouds', 'rain', 'clear', 'clear', 'clear', 'clear', 'sunny', 'sunny']",13
Khammam,Nellore,17.2473,80.1514,14.4426,79.9865,312.4,374,31.4,2.8,38.2,1.4,34.6,1.7,"['clear', 'clouds', 'clear', 'storm', 'sunny', 'clouds', 'sunny', 'clouds', 'clouds', 'sunny']",23
Adilabad,Guntur,19.6667,78.5333,16.3067,80.4365,424.4,509,37.3,3.1,36.6,3.5,35.3,3.3,"['clear', 'clear', 'sunny', 'fog', 'clear', 'rain', 'rain', 'rain', 'clear', 'sunny']",9
Nellore,Tirupati,14.4426,79.9865,13.6288,79.4192,109.2,131,35.2,3.3,34.5,3.9,36.0,3.8,"['clouds', 'clear', 'fog', 'sunny', 'clear', 'rain', 'clear', 'clouds', 'clear', 'clear']",7
Visakhapatnam,Vijayawada,17.6868,83.2185,16.5062,80.648,303.1,363,30.7,3.4,33.7,4.2,32.8,4.2,"['clouds', 'clouds', 'clouds', 'clear', 'sunny', 'sunny', 'clouds', 'sunny', 'clear', 'fog']",13
Vijayawada,Kurnool,16.5062,80.648,15.8281,78.0373,288.8,346,39.2,3.8,30.0,1.7,36.2,2.9,"['clear', 'rain', 'clouds', 'sunny', 'sunny', 'clear', 'clear', 'rain', 'storm', 'sunny']",21
Visakhapatnam,Kadapa,17.6868,83.2185,14.4674,78.8241,590.4,708,39.8,1.4,37.1,3.7,37.7,3.0,"['sunny', 'clear', 'sunny', 'clear', 'clear', 'clouds', 'sunny', 'clouds', 'clouds', 'rain']",16
Adilabad,Hyderabad,19.6667,78.5333,17.385,78.4867,253.8,304,31.0,2.5,39.0,2.7,34.3,2.4,"['sunny', 'clouds', 'clear', 'clear', 'clouds', 'clouds', 'rain', 'rain', 'clear', 'clear']",16
Kurnool,Anantapur,15.8281,78.0373,14.6819,77.6006,135.8,162,39.9,3.2,31.8,3.1,35.2,3.0,"['sunny', 'clear', 'clear', 'clear', 'clouds', 'clouds', 'clear', 'rain', 'clouds', 'fog']",10
Nizamabad,Vijayawada,18.6725,78.0941,16.5062,80.648,362.3,434,36.9,1.4,33.0,3.5,33.6,2.0,"['clouds', 'rain', 'clear', 'fog', 'sunny', 'fog', 'storm', 'storm', 'fog', 'clear']",11
Warangal,Guntur,17.9784,79.5941,16.3067,80.4365,206.3,247,38.3,4.7,32.1,2.9,33.7,3.7,"['rain', 'clouds', 'clear', 'sunny', 'rain', 'sunny', 'clouds', 'sunny', 'rain', 'clouds']",20
Rajahmundry,Guntur,17.0005,81.804,16.3067,80.4365,164.8,197,37.2,4.2,31.3,1.8,34.1,2.7,"['clear', 'sunny', 'clouds', 'clear', 'clouds', 'clouds', 'clouds', 'sunny', 'rain', 'sunny']",18
Warangal,Vijayawada,17.9784,79.5941,16.5062,80.648,198.3,237,34.3,1.1,30.8,3.7,32.3,2.3,"['clear', 'clear', 'rain', 'clouds', 'storm', 'clear', 'clear', 'rain', 'clear', 'sunny']",13
Visakhapatnam,Adilabad,17.6868,83.2185,19.6667,78.5333,540.4,648,34.0,3.9,34.2,2.7,33.9,3.3,"['clear', 'fog', 'sunny', 'clear', 'sunny', 'clouds', 'clear', 'clear', 'rain', 'clouds']",25
Visakhapatnam,Kurnool,17.6868,83.2185,15.8281,78.0373,589.1,706,31.1,3.2,39.4,1.9,34.7,2.2,"['fog', 'clouds', 'clear', 'clear', 'storm', 'rain', 'clouds', 'fog', 'clouds', 'rain']",19
Nellore,Khammam,14.4426,79.9865,17.2473,80.1514,312.4,374,35.7,4.6,33.9,1.2,36.5,3.1,"['rain', 'sunny', 'clear', 'clear', 'clear', 'fog', 'clear', 'clear', 'rain', 'rain']",12
Rajahmundry,Anantapur,17.0005,81.804,14.6819,77.6006,518.3,621,35.1,3.8,32.4,4.6,33.9,4.5,"['sunny', 'clear', 'fog', 'sunny', 'storm', 'clouds', 'sunny', 'clouds', 'rain', 'rain']",10
